concello;objectid;ua_teselas;ua_tesel_1;ua;hectares;grupoua;shape_leng;tabla_anex;tabla_an_1;cobertura;cod_tipo;codanexoi;cod_anexoi;p;anexoi_gal;shape_leng;
Arteixo;10737;11566;ES1110005.0304;UA162;28.85920257;UA100;6877.650296;10805;ES1110005.0304;5;P;4030;4030;;Queirogais secos europeos;6877.650296;
Arteixo;10738;11566;ES1110005.0304;UA162;28.85920257;UA100;6877.650296;10806;ES1110005.0304;2;V;8230;8230;;Rochedos silíceos con vexetación pioneira;6877.650296;
Arteixo;10739;11566;ES1110005.0304;UA162;28.85920257;UA100;6877.650296;10807;ES1110005.0304;5;V;4030;4030;;Queirogais secos europeos;6877.650296;
Arteixo;10740;11566;ES1110005.0304;UA162;28.85920257;UA100;6877.650296;10808;ES1110005.0304;1;V;6220*;6220;X;Pseudoestepas de gramíneas e anuais da orde Thero-Brachypodietea;6877.650296;
Arteixo;11394;11785;ES1110005.0541;UA150;5.30831168;UA100;2054.6168;11463;ES1110005.0541;1;V;1210;1210;;Vexetación anual sobre argazos;2054.6168;
Arteixo;11395;11785;ES1110005.0541;UA150;5.30831168;UA100;2054.6168;11462;ES1110005.0541;5;P;1140;1140;;Chairas lamacentas ou areosas non cubertos pola auga na baixamar;2054.6168;
Arteixo;14511;12626;ES1110005.1420;UA530;0.676039489;UA500;510.1371799;14581;ES1110005.1420;1;S;6430;6430;;Megaforbios éutrofos higrófilos das orlas de chairas;510.1371799;
Arteixo;14512;12626;ES1110005.1420;UA530;0.676039489;UA500;510.1371799;14580;ES1110005.1420;1;V;6410;6410;;Prados con Molinia;510.1371799;
Arteixo;14513;12626;ES1110005.1420;UA530;0.676039489;UA500;510.1371799;14579;ES1110005.1420;2;V;6510;6510;;Prados de sega de baixa altitude;510.1371799;
Arteixo;14514;12626;ES1110005.1420;UA530;0.676039489;UA500;510.1371799;14582;ES1110005.1420;1;S;6410;6410;;Prados con Molinia;510.1371799;
Arteixo;16035;14179;ES1110005.3056;UA151;3.116512117;UA100;1757.929852;16108;ES1110005.3056;1;V;2130*;2130;X;"Dunas costeiras fixas con vexetación herbácea (""dunas grises"")";1757.929852;
Arteixo;16036;14179;ES1110005.3056;UA151;3.116512117;UA100;1757.929852;16104;ES1110005.3056;1;V;2110;2110;;Dunas móbiles embrionarias;1757.929852;
Arteixo;16037;14179;ES1110005.3056;UA151;3.116512117;UA100;1757.929852;16105;ES1110005.3056;1;V;1210;1210;;Vexetación anual sobre argazos;1757.929852;
Arteixo;16038;14179;ES1110005.3056;UA151;3.116512117;UA100;1757.929852;16106;ES1110005.3056;5;V;2120;2120;;"Dunas móbiles litorais con Ammophila arenaria (""dunas brancas"")";1757.929852;
Arteixo;16039;14179;ES1110005.3056;UA151;3.116512117;UA100;1757.929852;16107;ES1110005.3056;1;V;2230;2230;;Dunas con céspedes de Malcomietalia;1757.929852;
Arteixo;16040;14179;ES1110005.3056;UA151;3.116512117;UA100;1757.929852;16103;ES1110005.3056;5;P;2120;2120;;"Dunas móbiles litorais con Ammophila arenaria (""dunas brancas"")";1757.929852;
Baleira;83256;53616;ES1120004.0155;UA532;139.8805313;UA500;26723.31421;83324;ES1120004.0155;2;V;6510;6510;;Prados de sega de baixa altitude;26723.31421;
Baleira;83257;53616;ES1120004.0155;UA532;139.8805313;UA500;26723.31421;83325;ES1120004.0155;1;V;6410;6410;;Prados con Molinia;26723.31421;
Baleira;83258;53616;ES1120004.0155;UA532;139.8805313;UA500;26723.31421;83326;ES1120004.0155;1;S;6430;6430;;Megaforbios éutrofos higrófilos das orlas de chairas;26723.31421;
Baleira;83302;53368;ES1120004.0181;UA310;77.35666406;UA300;9519.169089;83372;ES1120004.0181;1;V;8230;8230;;Rochedos silíceos con vexetación pioneira;9519.169089;
Baleira;83303;53368;ES1120004.0181;UA310;77.35666406;UA300;9519.169089;83373;ES1120004.0181;1;V;6220*;6220;X;Pseudoestepas de gramíneas e anuais da orde Thero-Brachypodietea;9519.169089;
Baleira;83304;53368;ES1120004.0181;UA310;77.35666406;UA300;9519.169089;83371;ES1120004.0181;1;V;8220;8220;;Encostas rochosas silíceas con vexetación casmofítica;9519.169089;
Baleira;83305;53368;ES1120004.0181;UA310;77.35666406;UA300;9519.169089;83370;ES1120004.0181;5;P;4030;4030;;Queirogais secos europeos;9519.169089;
Baleira;83365;53412;ES1120004.0237;UA320;3.085246875;UA300;1997.378249;83433;ES1120004.0237;2;V;8230;8230;;Rochedos silíceos con vexetación pioneira;1997.378249;
Baleira;83366;53412;ES1120004.0237;UA320;3.085246875;UA300;1997.378249;83434;ES1120004.0237;5;V;8220;8220;;Encostas rochosas silíceas con vexetación casmofítica;1997.378249;
Baleira;83367;53412;ES1120004.0237;UA320;3.085246875;UA300;1997.378249;83435;ES1120004.0237;1;V;6220*;6220;X;Pseudoestepas de gramíneas e anuais da orde Thero-Brachypodietea;1997.378249;
Baleira;83542;53636;ES1120004.0373;UA411;65.77999765;UA400;11787.92087;83613;ES1120004.0373;1;S;6430;6430;;Megaforbios éutrofos higrófilos das orlas de chairas;11787.92087;
Baleira;83543;53636;ES1120004.0373;UA411;65.77999765;UA400;11787.92087;83610;ES1120004.0373;5;V;9230;9230;;Carballeiras galaico-portugueses con Quercus robur e Q. pyrenaica;11787.92087;
Baleira;83544;53636;ES1120004.0373;UA411;65.77999765;UA400;11787.92087;83611;ES1120004.0373;1;V;9230;9230;;Carballeiras galaico-portugueses con Quercus robur e Q. pyrenaica;11787.92087;
Baleira;83545;53636;ES1120004.0373;UA411;65.77999765;UA400;11787.92087;83612;ES1120004.0373;1;V;9230;9230;;Carballeiras galaico-portugueses con Quercus robur e Q. pyrenaica;11787.92087;
Baleira;83644;53627;ES1120004.0425;UA425;81.45069694;UA400;24272.80315;83712;ES1120004.0425;5;P;9260;9260;;Soutos;24272.80315;
Baleira;83645;53627;ES1120004.0425;UA425;81.45069694;UA400;24272.80315;83713;ES1120004.0425;2;V;9230;9230;;Carballeiras galaico-portugueses con Quercus robur e Q. pyrenaica;24272.80315;
Baleira;83646;53627;ES1120004.0425;UA425;81.45069694;UA400;24272.80315;83714;ES1120004.0425;1;S;6430;6430;;Megaforbios éutrofos higrófilos das orlas de chairas;24272.80315;
Baleira;83652;53549;ES1120004.0428;UA425;3.641528426;UA400;1552.120895;83720;ES1120004.0428;5;P;9260;9260;;Soutos;1552.120895;
Baleira;83676;53560;ES1120004.0442;UA310;253.9485269;UA300;21283.96609;83745;ES1120004.0442;1;V;8220;8220;;Encostas rochosas silíceas con vexetación casmofítica;21283.96609;
Baleira;83677;53560;ES1120004.0442;UA310;253.9485269;UA300;21283.96609;83746;ES1120004.0442;1;V;8230;8230;;Rochedos silíceos con vexetación pioneira;21283.96609;
Baleira;83678;53560;ES1120004.0442;UA310;253.9485269;UA300;21283.96609;83747;ES1120004.0442;1;V;6220*;6220;X;Pseudoestepas de gramíneas e anuais da orde Thero-Brachypodietea;21283.96609;
Baleira;83679;53560;ES1120004.0442;UA310;253.9485269;UA300;21283.96609;83744;ES1120004.0442;5;P;4030;4030;;Queirogais secos europeos;21283.96609;
Baleira;83694;53563;ES1120004.0449;UA260;2.214271688;UA200;6793.749995;83762;ES1120004.0449;5;P;91E0*;9.10E+01;X;Bosques aluviais de Alnus glutinosa e Fraxinus excelsior;6793.749995;
Baleira;83695;53563;ES1120004.0449;UA260;2.214271688;UA200;6793.749995;83763;ES1120004.0449;1;V;6430;6430;;Megaforbios éutrofos higrófilos das orlas de chairas;6793.749995;
Baleira;83703;53629;ES1120004.0453;UA260;4.255190611;UA200;10770.42493;83771;ES1120004.0453;5;P;91E0*;9.10E+01;X;Bosques aluviais de Alnus glutinosa e Fraxinus excelsior;10770.42493;
Baleira;83704;53629;ES1120004.0453;UA260;4.255190611;UA200;10770.42493;83772;ES1120004.0453;1;V;6430;6430;;Megaforbios éutrofos higrófilos das orlas de chairas;10770.42493;
Baleira;83729;53734;ES1120004.0469;UA310;785.9456917;UA300;72126.1227;83797;ES1120004.0469;5;P;4030;4030;;Queirogais secos europeos;72126.1227;
Baleira;83730;53734;ES1120004.0469;UA310;785.9456917;UA300;72126.1227;83801;ES1120004.0469;1;S;6430;6430;;Megaforbios éutrofos higrófilos das orlas de chairas;72126.1227;
Baleira;83731;53734;ES1120004.0469;UA310;785.9456917;UA300;72126.1227;83800;ES1120004.0469;1;V;6220*;6220;X;Pseudoestepas de gramíneas e anuais da orde Thero-Brachypodietea;72126.1227;
Baleira;83732;53734;ES1120004.0469;UA310;785.9456917;UA300;72126.1227;83799;ES1120004.0469;1;V;8230;8230;;Rochedos silíceos con vexetación pioneira;72126.1227;
Baleira;83733;53734;ES1120004.0469;UA310;785.9456917;UA300;72126.1227;83798;ES1120004.0469;1;V;8220;8220;;Encostas rochosas silíceas con vexetación casmofítica;72126.1227;
Baleira;83738;53580;ES1120004.0473;UA425;17.66973904;UA400;5850.644478;83807;ES1120004.0473;1;S;9180*;9180;X;Bosques de encostas, desprendementos e barrancos do Tilio-Acerion;5850.644478;
Baleira;83739;53580;ES1120004.0473;UA425;17.66973904;UA400;5850.644478;83808;ES1120004.0473;1;S;91E0*;9.10E+01;X;Bosques aluviais de Alnus glutinosa e Fraxinus excelsior;5850.644478;
Baleira;83740;53580;ES1120004.0473;UA425;17.66973904;UA400;5850.644478;83806;ES1120004.0473;5;P;9260;9260;;Soutos;5850.644478;
Baleira;83856;53708;ES1120004.0532;UA220;1.989642174;UA200;7962.057341;83926;ES1120004.0532;1;S;6430;6430;;Megaforbios éutrofos higrófilos das orlas de chairas;7962.057341;
Baleira;83857;53708;ES1120004.0532;UA220;1.989642174;UA200;7962.057341;83925;ES1120004.0532;1;V;91E0*;9.10E+01;X;Bosques aluviais de Alnus glutinosa e Fraxinus excelsior;7962.057341;
Baleira;83858;53708;ES1120004.0532;UA220;1.989642174;UA200;7962.057341;83924;ES1120004.0532;5;P;3260;3260;;Ríos dos pisos basal a montano;7962.057341;
Barreiros;90581;61728;ES1120011.0175;UA320;0.78645514;UA300;457.373651;90649;ES1120011.0175;1;V;8230;8230;;Rochedos silíceos con vexetación pioneira;457.373651;
Barreiros;90582;61728;ES1120011.0175;UA320;0.78645514;UA300;457.373651;90650;ES1120011.0175;5;V;4030;4030;;Queirogais secos europeos;457.373651;
Barreiros;90583;61728;ES1120011.0175;UA320;0.78645514;UA300;457.373651;90651;ES1120011.0175;1;V;6220*;6220;X;Pseudoestepas de gramíneas e anuais da orde Thero-Brachypodietea;457.373651;
Barreiros;90584;61728;ES1120011.0175;UA320;0.78645514;UA300;457.373651;90652;ES1120011.0175;1;S;6430;6430;;Megaforbios éutrofos higrófilos das orlas de chairas;457.373651;
Barreiros;90587;61853;ES1120011.0178;UA530;79.94276109;UA500;9026.582845;90656;ES1120011.0178;1;S;6430;6430;;Megaforbios éutrofos higrófilos das orlas de chairas;9026.582845;
Barreiros;90588;61853;ES1120011.0178;UA530;79.94276109;UA500;9026.582845;90655;ES1120011.0178;5;V;6510;6510;;Prados de sega de baixa altitude;9026.582845;
Barreiros;90682;61994;ES1120011.0224;UA630;11.76682587;UA600;2026.203187;90750;ES1120011.0224;1;S;4030;4030;;Queirogais secos europeos;2026.203187;
Barreiros;90683;61994;ES1120011.0224;UA630;11.76682587;UA600;2026.203187;90751;ES1120011.0224;1;S;8230;8230;;Rochedos silíceos con vexetación pioneira;2026.203187;
Barreiros;90684;61994;ES1120011.0224;UA630;11.76682587;UA600;2026.203187;90752;ES1120011.0224;1;S;6220*;6220;X;Pseudoestepas de gramíneas e anuais da orde Thero-Brachypodietea;2026.203187;
Barreiros;90740;61464;ES1120011.0256;UA220;0.116908145;UA200;478.3172753;90808;ES1120011.0256;5;P;3260;3260;;Ríos dos pisos basal a montano;478.3172753;
Barreiros;90741;61464;ES1120011.0256;UA220;0.116908145;UA200;478.3172753;90809;ES1120011.0256;2;V;91E0*;9.10E+01;X;Bosques aluviais de Alnus glutinosa e Fraxinus excelsior;478.3172753;
Barreiros;90742;61694;ES1120011.0257;UA220;2.073561531;UA200;8309.816849;90810;ES1120011.0257;5;P;3260;3260;;Ríos dos pisos basal a montano;8309.816849;
Barreiros;90743;61694;ES1120011.0257;UA220;2.073561531;UA200;8309.816849;90811;ES1120011.0257;2;V;91E0*;9.10E+01;X;Bosques aluviais de Alnus glutinosa e Fraxinus excelsior;8309.816849;
Barreiros;90746;61462;ES1120011.0259;UA220;0.414912326;UA200;1668.800896;90814;ES1120011.0259;5;P;3260;3260;;Ríos dos pisos basal a montano;1668.800896;
Barreiros;90747;61462;ES1120011.0259;UA220;0.414912326;UA200;1668.800896;90815;ES1120011.0259;2;V;91E0*;9.10E+01;X;Bosques aluviais de Alnus glutinosa e Fraxinus excelsior;1668.800896;
Barreiros;90930;61990;ES1120011.0366;UA631;44.30988767;UA600;4908.684038;91000;ES1120011.0366;1;S;6220*;6220;X;Pseudoestepas de gramíneas e anuais da orde Thero-Brachypodietea;4908.684038;
Barreiros;90931;61990;ES1120011.0366;UA631;44.30988767;UA600;4908.684038;90998;ES1120011.0366;1;S;4030;4030;;Queirogais secos europeos;4908.684038;
Barreiros;90932;61990;ES1120011.0366;UA631;44.30988767;UA600;4908.684038;90999;ES1120011.0366;1;S;8230;8230;;Rochedos silíceos con vexetación pioneira;4908.684038;
Barreiros;90934;61857;ES1120011.0368;UA530;13.36004019;UA500;2902.864528;91002;ES1120011.0368;1;V;6510;6510;;Prados de sega de baixa altitude;2902.864528;
Barreiros;90935;61857;ES1120011.0368;UA530;13.36004019;UA500;2902.864528;91003;ES1120011.0368;1;S;6430;6430;;Megaforbios éutrofos higrófilos das orlas de chairas;2902.864528;
Barreiros;91170;61858;ES1120011.0526;UA260;0.554877168;UA200;1565.892234;91238;ES1120011.0526;5;P;91E0*;9.10E+01;X;Bosques aluviais de Alnus glutinosa e Fraxinus excelsior;1565.892234;
Barreiros;91171;61858;ES1120011.0526;UA260;0.554877168;UA200;1565.892234;91239;ES1120011.0526;1;V;6430;6430;;Megaforbios éutrofos higrófilos das orlas de chairas;1565.892234;
Barreiros;91181;61864;ES1120011.0531;UA220;10.05557699;UA200;23663.03811;91249;ES1120011.0531;5;P;3260;3260;;Ríos dos pisos basal a montano;23663.03811;
Barreiros;91182;61864;ES1120011.0531;UA220;10.05557699;UA200;23663.03811;91250;ES1120011.0531;1;V;91E0*;9.10E+01;X;Bosques aluviais de Alnus glutinosa e Fraxinus excelsior;23663.03811;
Becerreá;86448;57321;ES1120007.0005;UA540;0.579476511;UA500;388.1116283;86516;ES1120007.0005;1;V;6510;6510;;Prados de sega de baixa altitude;388.1116283;
