concello;aeroxenadores;objectid;ua_teselas;ua_tesel_1;ua;hectares;grupoua;shape_leng;tabla_anex;tabla_an_1;cobertura;cod_tipo;codanexoi;cod_anexoi;p;anexoi_gal;shape_leng
Abadín;1;95874;66931;ES1120015.0069;UA320;0.768716620454;UA300;548.178113647;95942;ES1120015.0069;2;V;4030;4030;;Queirogais secos europeos;548.178113647
Abadín;1;95875;66931;ES1120015.0069;UA320;0.768716620454;UA300;548.178113647;95943;ES1120015.0069;1;V;6220*;6220;X;Pseudoestepas de gramíneas e anuais da orde Thero-Brachypodietea;548.178113647
Abadín;2;96124;69102;ES1120015.0115;UA630;76.7094819073;UA600;10736.8269224;96192;ES1120015.0115;1;S;7110*;7110;X;Turbeiras altas activas;10736.8269224
Abadín;2;96125;69102;ES1120015.0115;UA630;76.7094819073;UA600;10736.8269224;96193;ES1120015.0115;1;S;4020*;4020;X;Queirogais húmidos atlánticos de Erica ciliaris e Erica tetralix;10736.8269224
Abadín;3;96407;66984;ES1120015.0207;UA630;27.610339817;UA600;2131.18049592;96466;ES1120015.0207;1;S;7110*;7110;X;Turbeiras altas activas;2131.18049592
Abadín;3;96408;66984;ES1120015.0207;UA630;27.610339817;UA600;2131.18049592;96467;ES1120015.0207;1;S;4020*;4020;X;Queirogais húmidos atlánticos de Erica ciliaris e Erica tetralix;2131.18049592
Abadín;43;96425;69115;ES1120015.0215;UA270;975.982175824;UA200;112112.603515;96577;ES1120015.0215;1;S;8220;8220;;Encostas rochosas silíceas con vexetación casmofítica;112112.603515
Abadín;43;96426;69115;ES1120015.0215;UA270;975.982175824;UA200;112112.603515;96487;ES1120015.0215;1;V;7110*;7110;X;Turbeiras altas activas;112112.603515
Abadín;43;96427;69115;ES1120015.0215;UA270;975.982175824;UA200;112112.603515;96574;ES1120015.0215;1;V;3160;3160;;Lagos e charcas distróficos naturais;112112.603515
Abadín;43;96428;69115;ES1120015.0215;UA270;975.982175824;UA200;112112.603515;96576;ES1120015.0215;1;S;8230;8230;;Rochedos silíceos con vexetación pioneira;112112.603515
Abadín;43;96429;69115;ES1120015.0215;UA270;975.982175824;UA200;112112.603515;96578;ES1120015.0215;1;S;6220*;6220;X;Pseudoestepas de gramíneas e anuais da orde Thero-Brachypodietea;112112.603515
Abadín;43;96430;69115;ES1120015.0215;UA270;975.982175824;UA200;112112.603515;96575;ES1120015.0215;1;S;4030;4030;;Queirogais secos europeos;112112.603515
Abadín;43;96431;69115;ES1120015.0215;UA270;975.982175824;UA200;112112.603515;96491;ES1120015.0215;1;V;7110*;7110;X;Turbeiras altas activas;112112.603515
Abadín;43;96432;69115;ES1120015.0215;UA270;975.982175824;UA200;112112.603515;96490;ES1120015.0215;1;V;7110*;7110;X;Turbeiras altas activas;112112.603515
Abadín;43;96433;69115;ES1120015.0215;UA270;975.982175824;UA200;112112.603515;96492;ES1120015.0215;1;V;7140;7140;;Turbeiras de transición e inllós;112112.603515
Abadín;43;96434;69115;ES1120015.0215;UA270;975.982175824;UA200;112112.603515;96489;ES1120015.0215;1;V;7110*;7110;X;Turbeiras altas activas;112112.603515
Abadín;43;96435;69115;ES1120015.0215;UA270;975.982175824;UA200;112112.603515;96486;ES1120015.0215;1;V;7150;7150;;Depresións sobre sustratos turbosos do Rhynchosporion;112112.603515
Abadín;43;96436;69115;ES1120015.0215;UA270;975.982175824;UA200;112112.603515;96485;ES1120015.0215;1;V;7150;7150;;Depresións sobre sustratos turbosos do Rhynchosporion;112112.603515
Abadín;43;96437;69115;ES1120015.0215;UA270;975.982175824;UA200;112112.603515;96484;ES1120015.0215;5;P;4020*;4020;X;Queirogais húmidos atlánticos de Erica ciliaris e Erica tetralix;112112.603515
Abadín;43;96438;69115;ES1120015.0215;UA270;975.982175824;UA200;112112.603515;96488;ES1120015.0215;1;V;6230*;6230;X;Formacións herbáceas con Nardus;112112.603515
Abadín;2;97041;69725;ES1120015.0356;UA320;5.4924606345;UA300;1456.64182117;97113;ES1120015.0356;1;V;4030;4030;;Queirogais secos europeos;1456.64182117
Abadín;2;97042;69725;ES1120015.0356;UA320;5.4924606345;UA300;1456.64182117;97109;ES1120015.0356;4;V;8230;8230;;Rochedos silíceos con vexetación pioneira;1456.64182117
Abadín;2;97043;69725;ES1120015.0356;UA320;5.4924606345;UA300;1456.64182117;97116;ES1120015.0356;2;S;4020*;4020;X;Queirogais húmidos atlánticos de Erica ciliaris e Erica tetralix;1456.64182117
Abadín;2;97044;69725;ES1120015.0356;UA320;5.4924606345;UA300;1456.64182117;97114;ES1120015.0356;1;V;4030;4030;;Queirogais secos europeos;1456.64182117
Abadín;2;97045;69725;ES1120015.0356;UA320;5.4924606345;UA300;1456.64182117;97112;ES1120015.0356;2;V;4030;4030;;Queirogais secos europeos;1456.64182117
Abadín;2;97046;69725;ES1120015.0356;UA320;5.4924606345;UA300;1456.64182117;97111;ES1120015.0356;1;V;8310;8310;;Covas non explotadas polo turismo;1456.64182117
Abadín;2;97047;69725;ES1120015.0356;UA320;5.4924606345;UA300;1456.64182117;97110;ES1120015.0356;1;V;8220;8220;;Encostas rochosas silíceas con vexetación casmofítica;1456.64182117
Abadín;2;97048;69725;ES1120015.0356;UA320;5.4924606345;UA300;1456.64182117;97115;ES1120015.0356;1;V;6220*;6220;X;Pseudoestepas de gramíneas e anuais da orde Thero-Brachypodietea;1456.64182117
Abadín;5;97049;66997;ES1120015.0357;UA230;26.3269054698;UA200;3857.30040635;97117;ES1120015.0357;5;P;7130*;7130;X;Turbeiras de cobertor (* para turbeiras activas);3857.30040635
Abadín;5;97050;66997;ES1120015.0357;UA230;26.3269054698;UA200;3857.30040635;97118;ES1120015.0357;1;V;3160;3160;;Lagos e charcas distróficos naturais;3857.30040635
Abadín;1;97083;69729;ES1120015.0365;UA320;1.53185434777;UA300;593.58779649;97152;ES1120015.0365;1;V;8220;8220;;Encostas rochosas silíceas con vexetación casmofítica;593.58779649
Abadín;1;97084;69729;ES1120015.0365;UA320;1.53185434777;UA300;593.58779649;97153;ES1120015.0365;1;V;8310;8310;;Covas non explotadas polo turismo;593.58779649
Abadín;1;97085;69729;ES1120015.0365;UA320;1.53185434777;UA300;593.58779649;97154;ES1120015.0365;2;V;4030;4030;;Queirogais secos europeos;593.58779649
Abadín;1;97086;69729;ES1120015.0365;UA320;1.53185434777;UA300;593.58779649;97155;ES1120015.0365;1;V;4030;4030;;Queirogais secos europeos;593.58779649
Abadín;1;97087;69729;ES1120015.0365;UA320;1.53185434777;UA300;593.58779649;97156;ES1120015.0365;1;V;4030;4030;;Queirogais secos europeos;593.58779649
Abadín;1;97088;69729;ES1120015.0365;UA320;1.53185434777;UA300;593.58779649;97157;ES1120015.0365;1;V;6220*;6220;X;Pseudoestepas de gramíneas e anuais da orde Thero-Brachypodietea;593.58779649
Abadín;1;97089;69729;ES1120015.0365;UA320;1.53185434777;UA300;593.58779649;97158;ES1120015.0365;2;S;4020*;4020;X;Queirogais húmidos atlánticos de Erica ciliaris e Erica tetralix;593.58779649
Abadín;1;97090;69729;ES1120015.0365;UA320;1.53185434777;UA300;593.58779649;97151;ES1120015.0365;4;V;8230;8230;;Rochedos silíceos con vexetación pioneira;593.58779649
Abadín;5;97128;66999;ES1120015.0375;UA230;15.9619921952;UA200;2334.9635838;97196;ES1120015.0375;5;P;7130*;7130;X;Turbeiras de cobertor (* para turbeiras activas);2334.9635838
Abadín;5;97129;66999;ES1120015.0375;UA230;15.9619921952;UA200;2334.9635838;97197;ES1120015.0375;1;V;3160;3160;;Lagos e charcas distróficos naturais;2334.9635838
Abadín;5;97210;69721;ES1120015.0388;UA320;15.0553016041;UA300;3938.00700599;97282;ES1120015.0388;1;V;4030;4030;;Queirogais secos europeos;3938.00700599
Abadín;5;97211;69721;ES1120015.0388;UA320;15.0553016041;UA300;3938.00700599;97284;ES1120015.0388;1;V;6220*;6220;X;Pseudoestepas de gramíneas e anuais da orde Thero-Brachypodietea;3938.00700599
Abadín;5;97212;69721;ES1120015.0388;UA320;15.0553016041;UA300;3938.00700599;97285;ES1120015.0388;2;S;4020*;4020;X;Queirogais húmidos atlánticos de Erica ciliaris e Erica tetralix;3938.00700599
Abadín;5;97213;69721;ES1120015.0388;UA320;15.0553016041;UA300;3938.00700599;97283;ES1120015.0388;1;V;4030;4030;;Queirogais secos europeos;3938.00700599
Abadín;5;97214;69721;ES1120015.0388;UA320;15.0553016041;UA300;3938.00700599;97281;ES1120015.0388;2;V;4030;4030;;Queirogais secos europeos;3938.00700599
Abadín;5;97215;69721;ES1120015.0388;UA320;15.0553016041;UA300;3938.00700599;97280;ES1120015.0388;1;V;8310;8310;;Covas non explotadas polo turismo;3938.00700599
Abadín;5;97216;69721;ES1120015.0388;UA320;15.0553016041;UA300;3938.00700599;97278;ES1120015.0388;4;V;8230;8230;;Rochedos silíceos con vexetación pioneira;3938.00700599
Abadín;5;97217;69721;ES1120015.0388;UA320;15.0553016041;UA300;3938.00700599;97279;ES1120015.0388;1;V;8220;8220;;Encostas rochosas silíceas con vexetación casmofítica;3938.00700599
Abadín;2;97240;69727;ES1120015.0393;UA320;3.00842655071;UA300;930.893397447;97313;ES1120015.0393;1;V;4030;4030;;Queirogais secos europeos;930.893397447
Abadín;2;97241;69727;ES1120015.0393;UA320;3.00842655071;UA300;930.893397447;97314;ES1120015.0393;1;V;6220*;6220;X;Pseudoestepas de gramíneas e anuais da orde Thero-Brachypodietea;930.893397447
Abadín;2;97242;69727;ES1120015.0393;UA320;3.00842655071;UA300;930.893397447;97312;ES1120015.0393;1;V;4030;4030;;Queirogais secos europeos;930.893397447
Abadín;2;97243;69727;ES1120015.0393;UA320;3.00842655071;UA300;930.893397447;97310;ES1120015.0393;1;V;8310;8310;;Covas non explotadas polo turismo;930.893397447
Abadín;2;97244;69727;ES1120015.0393;UA320;3.00842655071;UA300;930.893397447;97308;ES1120015.0393;4;V;8230;8230;;Rochedos silíceos con vexetación pioneira;930.893397447
Abadín;2;97245;69727;ES1120015.0393;UA320;3.00842655071;UA300;930.893397447;97309;ES1120015.0393;1;V;8220;8220;;Encostas rochosas silíceas con vexetación casmofítica;930.893397447
Abadín;2;97246;69727;ES1120015.0393;UA320;3.00842655071;UA300;930.893397447;97315;ES1120015.0393;2;S;4020*;4020;X;Queirogais húmidos atlánticos de Erica ciliaris e Erica tetralix;930.893397447
Abadín;2;97247;69727;ES1120015.0393;UA320;3.00842655071;UA300;930.893397447;97311;ES1120015.0393;2;V;4030;4030;;Queirogais secos europeos;930.893397447
Abadín;7;97256;69530;ES1120015.0398;UA230;65.729450103;UA200;8560.03726315;97324;ES1120015.0398;5;P;7130*;7130;X;Turbeiras de cobertor (* para turbeiras activas);8560.03726315
Abadín;7;97257;69530;ES1120015.0398;UA230;65.729450103;UA200;8560.03726315;97325;ES1120015.0398;1;V;3160;3160;;Lagos e charcas distróficos naturais;8560.03726315
Abadín;4;97301;69638;ES1120015.0411;UA320;12.1119287137;UA300;5452.14125048;97374;ES1120015.0411;1;V;4030;4030;;Queirogais secos europeos;5452.14125048
Abadín;4;97302;69638;ES1120015.0411;UA320;12.1119287137;UA300;5452.14125048;97375;ES1120015.0411;1;V;6220*;6220;X;Pseudoestepas de gramíneas e anuais da orde Thero-Brachypodietea;5452.14125048
Abadín;4;97303;69638;ES1120015.0411;UA320;12.1119287137;UA300;5452.14125048;97373;ES1120015.0411;1;V;4030;4030;;Queirogais secos europeos;5452.14125048
Abadín;4;97304;69638;ES1120015.0411;UA320;12.1119287137;UA300;5452.14125048;97371;ES1120015.0411;1;V;8310;8310;;Covas non explotadas polo turismo;5452.14125048
Abadín;4;97305;69638;ES1120015.0411;UA320;12.1119287137;UA300;5452.14125048;97370;ES1120015.0411;1;V;8220;8220;;Encostas rochosas silíceas con vexetación casmofítica;5452.14125048
Abadín;4;97306;69638;ES1120015.0411;UA320;12.1119287137;UA300;5452.14125048;97369;ES1120015.0411;4;V;8230;8230;;Rochedos silíceos con vexetación pioneira;5452.14125048
Abadín;4;97307;69638;ES1120015.0411;UA320;12.1119287137;UA300;5452.14125048;97372;ES1120015.0411;2;V;4030;4030;;Queirogais secos europeos;5452.14125048
Abadín;4;97308;69638;ES1120015.0411;UA320;12.1119287137;UA300;5452.14125048;97376;ES1120015.0411;2;S;4020*;4020;X;Queirogais húmidos atlánticos de Erica ciliaris e Erica tetralix;5452.14125048
Abadín;5;97309;69542;ES1120015.0412;UA230;13.0939846893;UA200;1943.85566;97377;ES1120015.0412;5;P;7130*;7130;X;Turbeiras de cobertor (* para turbeiras activas);1943.85566
Abadín;5;97310;69542;ES1120015.0412;UA230;13.0939846893;UA200;1943.85566;97378;ES1120015.0412;1;V;3160;3160;;Lagos e charcas distróficos naturais;1943.85566
Abadín;2;97326;69719;ES1120015.0417;UA320;6.85701854696;UA300;1690.41611645;97400;ES1120015.0417;1;V;6220*;6220;X;Pseudoestepas de gramíneas e anuais da orde Thero-Brachypodietea;1690.41611645
Abadín;2;97327;69719;ES1120015.0417;UA320;6.85701854696;UA300;1690.41611645;97401;ES1120015.0417;2;S;4020*;4020;X;Queirogais húmidos atlánticos de Erica ciliaris e Erica tetralix;1690.41611645
Abadín;2;97328;69719;ES1120015.0417;UA320;6.85701854696;UA300;1690.41611645;97399;ES1120015.0417;1;V;4030;4030;;Queirogais secos europeos;1690.41611645
Abadín;2;97329;69719;ES1120015.0417;UA320;6.85701854696;UA300;1690.41611645;97398;ES1120015.0417;1;V;4030;4030;;Queirogais secos europeos;1690.41611645
Abadín;2;97330;69719;ES1120015.0417;UA320;6.85701854696;UA300;1690.41611645;97397;ES1120015.0417;2;V;4030;4030;;Queirogais secos europeos;1690.41611645
Abadín;2;97331;69719;ES1120015.0417;UA320;6.85701854696;UA300;1690.41611645;97396;ES1120015.0417;1;V;8310;8310;;Covas non explotadas polo turismo;1690.41611645
Abadín;2;97332;69719;ES1120015.0417;UA320;6.85701854696;UA300;1690.41611645;97395;ES1120015.0417;1;V;8220;8220;;Encostas rochosas silíceas con vexetación casmofítica;1690.41611645
Abadín;2;97333;69719;ES1120015.0417;UA320;6.85701854696;UA300;1690.41611645;97394;ES1120015.0417;4;V;8230;8230;;Rochedos silíceos con vexetación pioneira;1690.41611645
Abadín;3;97338;69714;ES1120015.0419;UA320;4.9341704684;UA300;1304.10416262;97406;ES1120015.0419;4;V;8230;8230;;Rochedos silíceos con vexetación pioneira;1304.10416262
Abadín;3;97339;69714;ES1120015.0419;UA320;4.9341704684;UA300;1304.10416262;97411;ES1120015.0419;1;V;4030;4030;;Queirogais secos europeos;1304.10416262
Abadín;3;97340;69714;ES1120015.0419;UA320;4.9341704684;UA300;1304.10416262;97412;ES1120015.0419;1;V;6220*;6220;X;Pseudoestepas de gramíneas e anuais da orde Thero-Brachypodietea;1304.10416262
Abadín;3;97341;69714;ES1120015.0419;UA320;4.9341704684;UA300;1304.10416262;97413;ES1120015.0419;2;S;4020*;4020;X;Queirogais húmidos atlánticos de Erica ciliaris e Erica tetralix;1304.10416262
Abadín;3;97342;69714;ES1120015.0419;UA320;4.9341704684;UA300;1304.10416262;97410;ES1120015.0419;1;V;4030;4030;;Queirogais secos europeos;1304.10416262
Abadín;3;97343;69714;ES1120015.0419;UA320;4.9341704684;UA300;1304.10416262;97409;ES1120015.0419;2;V;4030;4030;;Queirogais secos europeos;1304.10416262
Abadín;3;97344;69714;ES1120015.0419;UA320;4.9341704684;UA300;1304.10416262;97407;ES1120015.0419;1;V;8220;8220;;Encostas rochosas silíceas con vexetación casmofítica;1304.10416262
Abadín;3;97345;69714;ES1120015.0419;UA320;4.9341704684;UA300;1304.10416262;97408;ES1120015.0419;1;V;8310;8310;;Covas non explotadas polo turismo;1304.10416262
Abadín;3;97371;69546;ES1120015.0425;UA230;14.7168495323;UA200;2409.73833255;97440;ES1120015.0425;5;V;7140;7140;;Turbeiras de transición e inllós;2409.73833255
Abadín;3;97372;69546;ES1120015.0425;UA230;14.7168495323;UA200;2409.73833255;97439;ES1120015.0425;5;P;7130;7130;;Turbeiras de cobertor (* para turbeiras activas);2409.73833255
Abadín;1;97373;67007;ES1120015.0427;UA320;0.843089019646;UA300;389.217220982;97444;ES1120015.0427;1;V;6220*;6220;X;Pseudoestepas de gramíneas e anuais da orde Thero-Brachypodietea;389.217220982
Abadín;1;97374;67007;ES1120015.0427;UA320;0.843089019646;UA300;389.217220982;97441;ES1120015.0427;4;V;8230;8230;;Rochedos silíceos con vexetación pioneira;389.217220982
Abadín;1;97375;67007;ES1120015.0427;UA320;0.843089019646;UA300;389.217220982;97442;ES1120015.0427;1;V;8220;8220;;Encostas rochosas silíceas con vexetación casmofítica;389.217220982
Abadín;1;97376;67007;ES1120015.0427;UA320;0.843089019646;UA300;389.217220982;97443;ES1120015.0427;2;V;4030;4030;;Queirogais secos europeos;389.217220982
Abadín;2;97470;69663;ES1120015.0458;UA320;1.26936309966;UA300;754.589530102;97538;ES1120015.0458;4;V;8230;8230;;Rochedos silíceos con vexetación pioneira;754.589530102
Abadín;2;97471;69663;ES1120015.0458;UA320;1.26936309966;UA300;754.589530102;97543;ES1120015.0458;1;V;4030;4030;;Queirogais secos europeos;754.589530102
Abadín;2;97472;69663;ES1120015.0458;UA320;1.26936309966;UA300;754.589530102;97544;ES1120015.0458;1;V;6220*;6220;X;Pseudoestepas de gramíneas e anuais da orde Thero-Brachypodietea;754.589530102
Abadín;2;97473;69663;ES1120015.0458;UA320;1.26936309966;UA300;754.589530102;97545;ES1120015.0458;2;S;4020*;4020;X;Queirogais húmidos atlánticos de Erica ciliaris e Erica tetralix;754.589530102
Abadín;2;97474;69663;ES1120015.0458;UA320;1.26936309966;UA300;754.589530102;97542;ES1120015.0458;1;V;4030;4030;;Queirogais secos europeos;754.589530102
Abadín;2;97475;69663;ES1120015.0458;UA320;1.26936309966;UA300;754.589530102;97541;ES1120015.0458;2;V;4030;4030;;Queirogais secos europeos;754.589530102
Abadín;2;97476;69663;ES1120015.0458;UA320;1.26936309966;UA300;754.589530102;97539;ES1120015.0458;1;V;8220;8220;;Encostas rochosas silíceas con vexetación casmofítica;754.589530102
Abadín;2;97477;69663;ES1120015.0458;UA320;1.26936309966;UA300;754.589530102;97540;ES1120015.0458;1;V;8310;8310;;Covas non explotadas polo turismo;754.589530102
Abadín;2;97533;69728;ES1120015.0470;UA320;3.81147357138;UA300;1953.8925221;97604;ES1120015.0470;2;V;4030;4030;;Queirogais secos europeos;1953.8925221
Abadín;2;97534;69728;ES1120015.0470;UA320;3.81147357138;UA300;1953.8925221;97608;ES1120015.0470;2;S;4020*;4020;X;Queirogais húmidos atlánticos de Erica ciliaris e Erica tetralix;1953.8925221
Abadín;2;97535;69728;ES1120015.0470;UA320;3.81147357138;UA300;1953.8925221;97607;ES1120015.0470;1;V;6220*;6220;X;Pseudoestepas de gramíneas e anuais da orde Thero-Brachypodietea;1953.8925221
Abadín;2;97536;69728;ES1120015.0470;UA320;3.81147357138;UA300;1953.8925221;97605;ES1120015.0470;1;V;4030;4030;;Queirogais secos europeos;1953.8925221
Abadín;2;97537;69728;ES1120015.0470;UA320;3.81147357138;UA300;1953.8925221;97603;ES1120015.0470;1;V;8310;8310;;Covas non explotadas polo turismo;1953.8925221
Abadín;2;97538;69728;ES1120015.0470;UA320;3.81147357138;UA300;1953.8925221;97602;ES1120015.0470;1;V;8220;8220;;Encostas rochosas silíceas con vexetación casmofítica;1953.8925221
Abadín;2;97539;69728;ES1120015.0470;UA320;3.81147357138;UA300;1953.8925221;97601;ES1120015.0470;4;V;8230;8230;;Rochedos silíceos con vexetación pioneira;1953.8925221
Abadín;2;97540;69728;ES1120015.0470;UA320;3.81147357138;UA300;1953.8925221;97606;ES1120015.0470;1;V;4030;4030;;Queirogais secos europeos;1953.8925221
Abadín;13;97605;69529;ES1120015.0481;UA230;41.6787843465;UA200;6086.18865893;97673;ES1120015.0481;5;P;7130;7130;;Turbeiras de cobertor (* para turbeiras activas);6086.18865893
Abadín;13;97606;69529;ES1120015.0481;UA230;41.6787843465;UA200;6086.18865893;97674;ES1120015.0481;5;V;7140;7140;;Turbeiras de transición e inllós;6086.18865893
Abadín;1;97668;69526;ES1120015.0492;UA230;5.34637144951;UA200;1473.95403762;97736;ES1120015.0492;5;P;7130*;7130;X;Turbeiras de cobertor (* para turbeiras activas);1473.95403762
Abadín;1;97669;69526;ES1120015.0492;UA230;5.34637144951;UA200;1473.95403762;97737;ES1120015.0492;1;V;3160;3160;;Lagos e charcas distróficos naturais;1473.95403762
Abadín;1;97685;69669;ES1120015.0497;UA320;0.626359807057;UA300;497.011819075;97756;ES1120015.0497;1;V;6220*;6220;X;Pseudoestepas de gramíneas e anuais da orde Thero-Brachypodietea;497.011819075
Abadín;1;97686;69669;ES1120015.0497;UA320;0.626359807057;UA300;497.011819075;97755;ES1120015.0497;2;V;4030;4030;;Queirogais secos europeos;497.011819075
Abadín;1;97687;69669;ES1120015.0497;UA320;0.626359807057;UA300;497.011819075;97753;ES1120015.0497;4;V;8230;8230;;Rochedos silíceos con vexetación pioneira;497.011819075
Abadín;1;97688;69669;ES1120015.0497;UA320;0.626359807057;UA300;497.011819075;97754;ES1120015.0497;1;V;8220;8220;;Encostas rochosas silíceas con vexetación casmofítica;497.011819075
Abadín;3;97690;69250;ES1120015.0499;UA320;9.09179929194;UA300;1776.18544738;97762;ES1120015.0499;1;V;4030;4030;;Queirogais secos europeos;1776.18544738
Abadín;3;97691;69250;ES1120015.0499;UA320;9.09179929194;UA300;1776.18544738;97763;ES1120015.0499;1;V;4030;4030;;Queirogais secos europeos;1776.18544738
Abadín;3;97692;69250;ES1120015.0499;UA320;9.09179929194;UA300;1776.18544738;97764;ES1120015.0499;1;V;6220*;6220;X;Pseudoestepas de gramíneas e anuais da orde Thero-Brachypodietea;1776.18544738
Abadín;3;97693;69250;ES1120015.0499;UA320;9.09179929194;UA300;1776.18544738;97760;ES1120015.0499;1;V;8310;8310;;Covas non explotadas polo turismo;1776.18544738
Abadín;3;97694;69250;ES1120015.0499;UA320;9.09179929194;UA300;1776.18544738;97761;ES1120015.0499;2;V;4030;4030;;Queirogais secos europeos;1776.18544738
Abadín;3;97695;69250;ES1120015.0499;UA320;9.09179929194;UA300;1776.18544738;97759;ES1120015.0499;1;V;8220;8220;;Encostas rochosas silíceas con vexetación casmofítica;1776.18544738
Abadín;3;97696;69250;ES1120015.0499;UA320;9.09179929194;UA300;1776.18544738;97758;ES1120015.0499;4;V;8230;8230;;Rochedos silíceos con vexetación pioneira;1776.18544738
Abadín;3;97697;69250;ES1120015.0499;UA320;9.09179929194;UA300;1776.18544738;97765;ES1120015.0499;2;S;4020*;4020;X;Queirogais húmidos atlánticos de Erica ciliaris e Erica tetralix;1776.18544738
Abadín;11;97749;69552;ES1120015.0510;UA230;55.2497391249;UA200;6657.90581118;97817;ES1120015.0510;5;P;7130;7130;;Turbeiras de cobertor (* para turbeiras activas);6657.90581118
Abadín;11;97750;69552;ES1120015.0510;UA230;55.2497391249;UA200;6657.90581118;97818;ES1120015.0510;5;V;7140;7140;;Turbeiras de transición e inllós;6657.90581118
Abadín;3;97804;69573;ES1120015.0524;UA230;72.4339078509;UA200;9443.98166154;97873;ES1120015.0524;1;V;3160;3160;;Lagos e charcas distróficos naturais;9443.98166154
Abadín;3;97805;69573;ES1120015.0524;UA230;72.4339078509;UA200;9443.98166154;97872;ES1120015.0524;5;P;7130*;7130;X;Turbeiras de cobertor (* para turbeiras activas);9443.98166154
Abadín;1;97830;69528;ES1120015.0530;UA230;16.7171001133;UA200;3641.05550695;97899;ES1120015.0530;1;V;3160;3160;;Lagos e charcas distróficos naturais;3641.05550695
